myelinArea,axonArea,myelinEquivDiameter,axonEquivDiameter,gRatio,myelinThickness
2.68,1.67,2.353421,1.458187,0.6196032,0.447617
2.58,0.69,2.040464,0.9373021,0.4593574,0.5515809
1.43,0.96,1.744432,1.105581,0.6337773,0.3194253
2.67,1.71,2.361523,1.475547,0.6248287,0.4429877
2.29,1.03,2.056005,1.14518,0.5569928,0.4554125
11.1,8.7,5.02097,3.32824,0.662868,0.846365
2.98,2.36,2.607508,1.733449,0.6647913,0.4370297
11.41,9.25,5.128852,3.431831,0.6691226,0.8485105
2.54,1.57,2.287578,1.413855,0.6180575,0.4368616
3.78,2.25,2.770854,1.692569,0.6108472,0.5391428
8.54,4.3,4.043315,2.339857,0.5786977,0.851729
1.74,1.12,1.908262,1.194164,0.6257862,0.357049
11.37,5.51,4.635977,2.648688,0.5713333,0.9936445
3.83,2.62,2.865728,1.826441,0.6373394,0.5196432
5.03,2.97,3.191538,1.944613,0.6093029,0.6234623
1.74,1.2,1.934767,1.236077,0.6388766,0.3493449
0.97,0.88,1.534762,1.058513,0.6896924,0.2381241
4.42,2.61,2.991801,1.822952,0.609316,0.5844244
1.48,1,1.776973,1.128379,0.6350006,0.3242971
10.19,3.4,4.159727,2.080628,0.5001839,1.039549
1.87,1.15,1.960914,1.210052,0.6170856,0.3754311
1.6,1.1,1.854116,1.183454,0.6382847,0.3353311
9.26,2.79,3.916955,1.884765,0.4811811,1.016095
6.73,3.5,3.60905,2.111004,0.5849196,0.7490228
2.7,1.76,2.382992,1.496964,0.6281869,0.4430137
0.99,0.73,1.479855,0.9640876,0.6514742,0.2578839
1.59,0.76,1.729772,0.9836981,0.5686864,0.3730372
5.7,3.5,3.422543,2.111004,0.616794,0.6557696
1.83,1.27,1.986717,1.271619,0.6400605,0.3575489
14.35,4.67,4.921079,2.438448,0.4955109,1.241315
5.39,2.89,3.24691,1.918245,0.5907909,0.6643326
3.01,2.07,2.543237,1.623455,0.6383418,0.4598913
1.47,1.06,1.794797,1.161737,0.6472807,0.3165298
2.65,0,1.836868,0,0,0.9184341
4.67,2.68,3.059136,1.847236,0.6038426,0.6059497
2.53,1.35,2.222649,1.311058,0.5898628,0.4557956
1.95,1.04,1.95115,1.150725,0.5897678,0.4002123
1.99,1.18,2.009022,1.225734,0.6101145,0.3916442
1.45,1.07,1.791246,1.167204,0.6516158,0.312021
1.3,0.81,1.639065,1.015541,0.6195855,0.3117621
